calibration,W,Qh,Qc,eta,W_ad,D_open,D_close,bound,leakage_open,leakage_close,sigma,norm_error,thermal_tail,identity_error
81,0.0023903420659811547,0.0031430562392475436,-0.0007527141732663889,0.7605152068654709,0.0025314649971113897,6.159412327039204e-05,7.952880785977445e-05,0.00014054650533869696,7.873902254264686e-05,7.247911857356553e-05,0.035983214336044594,5.982709883056714e-10,3.098047219308967e-18,-6.852157730108388e-17
161,0.0023903204078052354,0.003143046734086774,-0.0007527263262815387,0.760510615983492,0.0025314649971113897,6.160362843116163e-05,7.954096087492424e-05,0.00014056811138672532,7.875174280944292e-05,7.249033279875381e-05,0.03598454845206919,5.997466967500031e-10,3.098047219308967e-18,-6.852157730108388e-17
321,0.002390314957799844,0.0031430443401025965,-0.0007527293823027525,0.7605094612574949,0.0025314649971113897,6.160602241533919e-05,7.95440168961381e-05,0.000140573553462263,7.875493885108868e-05,7.24931553027354e-05,0.0359848839789928,6.022551346518412e-10,3.098047219308967e-18,-6.852157730108388e-17
