eps_over_Jo,eps,tau,P,W_tls,Wad_tls,L_tls,Wnorm_tls
0.0,0.0,0.5,6.382950633693111e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,0.5201083500882184,1.157132762065931e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,0.5410253916629775,5.442578972334058e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,0.5627836476273268,2.6568490361675594e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,0.5854169488481564,5.3095772130380295e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,0.6089604867581871,6.193231362580114e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,0.6334508680734382,1.375158578622438e-35,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,0.6589261717112513,4.471488376650896e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,0.6854260079973701,2.0131016689334104e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,0.7129915802541322,3.4749991258184827e-35,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,0.7416657488655366,5.804520220448615e-35,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,0.7714930979187944,2.948850955213189e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,0.8025200045259849,3.5038129379342815e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,0.8347947109335991,5.7848422161270786e-37,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,0.868367399532091,1.6023703001773577e-35,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,0.9032902708820651,6.069269057519901e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,0.9396176248784216,1.8976005040927186e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,0.9774059451786528,1.7820814447729504e-36,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
0.0,0.0,1.0167139870265693,9.736210981308332e-35,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0
