protocol,k,tau,contact,gamma,W,Qh,Qc,eta,power,sigma,sigma_hot,sigma_cold,residual,min_eigenvalue
linear_J,24,40,20,0.02,0.0004691508891701361,0.0006190014591748813,-0.00014985057000474516,0.7579156433581054,3.909590743084468e-06,0.0072475387607885,0.0023409227866792214,0.0049066159741121655,1.3083978345323055e-12,3.0845742398324072e-18
linear_J,24,40,40,0.02,0.0007950235989644049,0.0011487453562156508,-0.00035372175725124585,0.6920799241212839,4.9688974935275305e-06,0.02101285877242895,0.0050206915175217345,0.01599216725490433,6.58473275997368e-13,9.928389245523817e-21
linear_J,24,40,80,0.02,0.0015478212654166212,0.002071007408969376,-0.0005231861435527547,0.7473760155145389,6.449255272569255e-06,0.02643102174315827,0.008055612924726292,0.018375408818432533,8.654188478737598e-14,9.445964988523571e-22
linear_J,24,40,160,0.02,0.002236682008620209,0.0029097044998099976,-0.0006730224911897887,0.7686973054364329,5.591705021550523e-06,0.03093094287135391,0.010804299917609228,0.020126642953744014,2.0983215417487678e-14,-1.0581087193424498e-20
spectral_smooth,24,40,5,0.02,0.000126386133104068,0.00016007215253503992,-3.3686019430971916e-05,0.789557278405449,1.4042903678229778e-06,0.0013677000364091928,0.0005513417742211177,0.0008163582621864098,1.6949775092891808e-12,-4.1968726142834374e-22
spectral_smooth,24,40,10,0.02,0.00025228921515951374,0.0003193930294650305,-6.710381430551681e-05,0.7899020701299814,2.5228921515951372e-06,0.002717968562238799,0.0010996757953887068,0.001618292766853201,1.9574342189597156e-12,-4.351894523919582e-23
spectral_smooth,24,40,20,0.02,0.0004996159821589966,0.0006324961850083224,-0.00013288020284932576,0.7899114555962462,4.163466517991639e-06,0.005381817972328545,0.002178514834053343,0.003203303138277644,1.3093970364598373e-12,-2.09627838816841e-22
spectral_smooth,24,40,40,0.02,0.000961751971132832,0.0012175825994264313,-0.00025583062829359935,0.789886428720225,6.0109498195802e-06,0.010363280336529545,0.0041975791705623055,0.006165701165962909,6.58584299478094e-13,-2.4098325635729706e-20
spectral_smooth,24,40,80,0.02,0.0016808912821893052,0.0021279668181670916,-0.00044707553597778636,0.7899048367855325,7.003713675788772e-06,0.01810796837068999,0.007358634752019772,0.010749333618671884,8.670841822898414e-14,-8.568304702528597e-20
spectral_smooth,24,40,160,0.02,0.0023330806224770837,0.0029535784915947594,-0.0006204978691176757,0.7899165805535633,5.8327015561927095e-06,0.02513005576683308,0.010258127952289114,0.014871927814534308,2.1094239684596808e-14,-3.7720909162129876e-19
