n,k,tau,th,W,Qh,Qc,eta,W_ad,D_open,D_close,bound,leakage_open,leakage_close,sigma,norm_error,thermal_tail,identity_error
1000,32,5,0.18,-0.015328093029378542,0.0060244676786253,-0.021352560708003843,,0.0024094793635828695,0.007841647882481817,0.009895924510479381,0.016640413920153835,0.010138397819665737,0.008201068279009786,2.1017868059191325,8.405417584178565e-09,4.777901187676912e-22,-2.1337098754514727e-16
1000,32,12,0.18,0.002270946030088594,0.013804511930015861,-0.011533565899927267,0.16450752055570753,0.0024094793635828695,6.1603631091256e-05,7.692970240280594e-05,0.0001318522215166339,7.875174610751383e-05,6.524461238165376e-05,1.0766648570481943,3.984476015794769e-08,4.777901187676912e-22,-2.1337098754514727e-16
1000,32,80,0.18,0.002409475936114014,0.013866113956449821,-0.011456638020335808,0.17376721002593856,0.0024094793635828695,1.6046572959282912e-09,1.8228113463081286e-09,3.381032927906909e-09,2.1011672733737907e-09,1.6594642497547539e-09,1.0686298356088595,3.4538146242990564e-07,4.777901187676912e-22,-2.1337098754514727e-16
1600,56,5,0.18,-0.015328519087381531,0.0060237416148892775,-0.02135226070227081,,0.0024092934438230563,0.00784172882491535,0.009896083706289471,0.016640753875319422,0.010138397465649648,0.008201154649678034,2.1017608390332514,9.903664999200146e-09,4.75103723727445e-22,2.3418766925686896e-16
1600,56,12,0.18,0.0022707704412875396,0.013803872121606053,-0.011533101680318514,0.1645024252096114,0.0024092934438230563,6.159831819857464e-05,7.692468433717625e-05,0.00013184266214149692,7.874408902207686e-05,6.523922262591648e-05,1.0766219895784843,3.1193365557236064e-08,4.75103723727445e-22,2.3418766925686896e-16
1600,56,80,0.18,0.0024092900174976783,0.013865468835710937,-0.011456178818213258,0.17376188616806656,0.0024092934438230563,1.6040936912098402e-09,1.8222319209115767e-09,3.3798863434872973e-09,2.1003997981715593e-09,1.6588889778855362e-09,1.0685874994007096,1.9629333702919638e-07,4.75103723727445e-22,2.3418766925686896e-16
