protocol,tau,ratio,W,Qh,Qc,eta,W_ad,D_open,D_close,bound,leakage_open,leakage_close,sigma,norm_error,thermal_tail,identity_error
linear_J,1.0,5.2,-0.057879835874745156,-0.0199420801908336,-0.037937755683911556,,0.00013727224531010862,0.02011324891966665,0.03790385920038852,0.044890285859223576,0.02414039751113989,0.02403000678460836,4.177277110522571,1.577959984899735e-11,8.330189082845176e-74,-9.71445146547012e-17
linear_J,1.0,5.6000000000000005,-0.05680936809047643,-0.01935558217190614,-0.03745378591857029,,0.0006080858906335955,0.02011324891966665,0.037304205061443274,0.044482838970567866,0.02414039751113989,0.02365153493582747,4.091013987783924,1.577959984899735e-11,1.3230604115910993e-68,-1.0408340855860843e-16
linear_J,1.0,6.0,-0.055861321984993495,-0.01883541499056618,-0.037025906994427316,,0.0010249641650421346,0.02011324891966665,0.036773037230368844,0.04412181135444859,0.02414039751113989,0.023316205621583555,4.016514282618835,1.577959984899735e-11,4.2536486526578224e-64,-1.3877787807814457e-16
linear_J,1.0,6.4,-0.05501735503047245,-0.018370985389662864,-0.036646369640809584,,0.001395907579451248,0.02011324891966665,0.03630001369025704,0.04380009218173415,0.02414039751113989,0.02301743137446856,3.951683610794441,1.577959984899735e-11,3.7352788856454855e-60,-1.3877787807814457e-17
linear_J,1.0,6.800000000000001,-0.05426257918253641,-0.017953334768462392,-0.036309244414074016,,0.0017273658861075144,0.02011324891966665,0.03587669614897715,0.04351182501931069,0.02414039751113989,0.022749798183413467,3.8949440703553777,1.577959984899735e-11,1.1265746972002113e-56,-1.249000902703301e-16
linear_J,1.0,7.2,-0.0535849342767471,-0.01757476196812663,-0.03601017230862047,,0.0020245098875575716,0.02011324891966665,0.035496195244638096,0.04325216222060425,0.02414039751113989,0.022508838310763817,3.845111147086028,1.577959984899735e-11,1.394606357929648e-53,7.632783294297951e-17
linear_J,1.0,7.6000000000000005,-0.052974669081347736,-0.017228522631829724,-0.03574614644951801,,0.0022914582089468122,0.02011324891966665,0.03515287837062797,0.043017064835597654,0.02414039751113989,0.02229084476514001,3.8013057322127186,1.577959984899735e-11,8.156087346927414e-51,6.938893903907228e-17
linear_J,1.0,8.0,-0.05242391660152124,-0.016908598557149213,-0.035515318044372024,,0.0025314649971111313,0.02011324891966665,0.03484213267896563,0.042803143057911885,0.02414039751113989,0.022092722786312583,3.7628892864015677,1.577959984899735e-11,2.5218201928829366e-48,-8.326672684688674e-17
linear_J,1.0,8.4,-0.05192634695999543,-0.016609526252567508,-0.03531682070742792,,0.0027470756294318494,0.02011324891966665,0.0345601736697605,0.04260753035605544,0.02414039751113989,0.02191187204714781,3.7294145261305003,1.577959984899735e-11,4.515457140695887e-46,-1.3183898417423734e-16
linear_J,1.0,8.8,-0.05147688273410389,-0.01632627325310021,-0.03515060948100368,,0.0029402566328306685,0.02011324891966665,0.03430389044726789,0.042427784639310906,0.02414039751113989,0.021746093520119473,3.700586780521961,1.577959984899735e-11,5.04434015617918e-44,-1.3877787807814457e-17
linear_J,1.0,9.2,-0.05107146443305083,-0.016054151630384317,-0.03501731280266651,,0.003112504696812876,0.02011324891966665,0.03407072021019697,0.042261810714624766,0.02414039751113989,0.0215935158194553,3.676232928423002,1.577959984899735e-11,3.738972604115703e-42,-8.326672684688674e-17
linear_J,1.0,9.600000000000001,-0.05070685650253265,-0.01578875960619336,-0.03491809689633929,,0.003264938480751665,0.02011324891966665,0.03385854606361771,0.04210779933385948,0.02414039751113989,0.021452536796658674,3.6562759355317764,1.577959984899735e-11,1.935616801652016e-40,4.163336342344337e-17
linear_J,1.0,10.0,-0.05038048644283455,-0.015525943787072283,-0.034854542655762266,,0.0033983760106148686,0.02011324891966665,0.03366561353378261,0.041964179093967324,0.02414039751113989,0.021321777044178154,3.6407137034469494,1.577959984899735e-11,7.306589792677805e-39,-1.5265566588595902e-16
linear_J,1.0,10.4,-0.050090311289128164,-0.015261776060361554,-0.03482853522876661,,0.0035133998199881004,0.02011324891966665,0.0334904621894494,0.04182957826799737,0.02414039751113989,0.021200042693929964,3.629601369610907,1.577959984899735e-11,2.085778829832316e-37,-2.1510571102112408e-16
linear_J,1.0,10.8,-0.049834706920548755,-0.014992540530666065,-0.03484216638988269,,0.0036104115533966367,0.02011324891966665,0.03333186955427858,0.041702794305586544,0.02414039751113989,0.02108629548370912,3.6230364587166584,1.577959984899735e-11,4.644768934322384e-36,-1.5959455978986625e-16
linear_J,1.0,11.2,-0.049612376550657866,-0.01471472699959675,-0.034897649551061116,,0.0036896774534607786,0.02011324891966665,0.0331888050844521,0.04158276926395841,0.02414039751113989,0.02097962852405912,3.62114644617394,1.577959984899735e-11,8.286280921066552e-35,1.0408340855860843e-16
linear_J,1.0,11.600000000000001,-0.049422275403862126,-0.014425028404416063,-0.03499724699944606,,0.003751365947052346,0.02011324891966665,0.0330603924312477,0.041468569837229595,0.02414039751113989,0.020879246554059275,3.624078393086124,1.577959984899735e-11,1.2117631226636495e-33,-1.249000902703301e-16
linear_J,1.0,12.0,-0.049263549073965684,-0.01412034035409726,-0.035143208719868424,,0.00379557839403121,0.02011324891966665,0.03294587854833009,0.04135937096550768,0.02414039751113989,0.020784449748398316,3.631990374937653,1.577959984899735e-11,1.4817418450504934e-32,-1.5959455978986625e-16
linear_J,1.0,12.4,-0.04913548344385871,-0.013797761461973812,-0.035337721981884895,,0.0038223739425732317,0.02011324891966665,0.03284460846676551,0.04125444224559514,0.02414039751113989,0.02069462034833861,3.645044468043117,1.577959984899735e-11,1.5415016355369762e-31,2.220446049250313e-16
linear_J,1.0,12.8,-0.04903746435369383,-0.013454593601012865,-0.03558287075268096,,0.0038317893339585374,0.02011324891966665,0.0327560047679859,0.04115313654844663,0.02414039751113989,0.02060921155045741,3.663401087776009,1.577959984899735e-11,1.3851978844497059e-30,1.8735013540549517e-16
linear_J,1.0,13.2,-0.04896894546091013,-0.013088341527029423,-0.035880603933880706,,0.003823854409474892,0.02011324891966665,0.032679550950718395,0.04105488038798185,0.02414039751113989,0.020527738210900297,3.6872144958655664,1.577959984899735e-11,1.0895775317434279e-29,2.0816681711721685e-17
linear_J,1.0,13.600000000000001,-0.0489294229530996,-0.012696711549567807,-0.03623271140353179,,0.0037986039890793265,0.02011324891966665,0.032614778022512336,0.04095916569175354,0.02414039751113989,0.02044976901817669,3.716629313511766,1.577959984899735e-11,7.590750842994531e-29,5.551115123125783e-17
linear_J,1.0,14.0,-0.04891841596268087,-0.012277609098683695,-0.03664080686399718,,0.0037560867140893498,0.02011324891966665,0.03256125375710339,0.04086554270431906,0.02414039751113989,0.0203749198610508,3.7517778942474584,1.577959984899735e-11,4.732714426251893e-28,-1.8041124150158794e-16
