tau,protocol,dt,n,W_grid,W_projected,difference,norm_error
0.8897975,linear_J,0.009997724719101124,1000,-0.05457929571512954,-0.05458045314683607,1.1574317065332629e-06,2.886579864025407e-15
0.8897975,linear_J,0.004998862359550562,1000,-0.0545801620373646,-0.05458045314683607,2.911094714730389e-07,2.6645352591003757e-15
12.0,spectral_smooth,0.01,1000,0.002390290674324169,0.0023903204078052354,-2.9733481066163137e-08,2.1760371282653068e-14
12.0,spectral_smooth,0.005,1000,0.002390313011162881,0.0023903204078052354,-7.396642354162708e-09,5.551115123125783e-15
20.0,smooth_b,0.01,1000,0.0024110553980473126,0.0024110641200524308,-8.722005118144693e-09,4.085620730620576e-14
20.0,smooth_b,0.005,1000,0.0024110619625627994,0.0024110641200524308,-2.1574896313936165e-09,7.993605777301127e-15
