protocol,tau,W,Qh,Qc,eta,W_ad,D_open,D_close,bound,leakage_open,leakage_close,sigma,norm_error,thermal_tail,identity_error
linear_J,0.0,-0.06525837443357752,-0.02056993275746699,-0.044688441676110524,,0.0025314649971111313,0.023774583119984427,0.04401525631070413,0.04855641110439233,0.027328898366190714,0.02505547295489061,4.725968327079389,1.3322676295501878e-15,3.098047219308876e-18,-8.326672684688674e-17
linear_b,0.0,-0.06525837443357752,-0.02056993275746699,-0.044688441676110524,,0.0025314649971111313,0.023774583119984427,0.04401525631070413,0.04855641110439233,0.027328898366190714,0.02505547295489061,4.725968327079389,1.3322676295501878e-15,3.098047219308876e-18,-8.326672684688674e-17
smooth_b,0.0,-0.06525837443357752,-0.02056993275746699,-0.044688441676110524,,0.0025314649971111313,0.023774583119984427,0.04401525631070413,0.04855641110439233,0.027328898366190714,0.02505547295489061,4.725968327079389,1.3322676295501878e-15,3.098047219308876e-18,-8.326672684688674e-17
spectral_smooth,0.0,-0.06525837443357752,-0.02056993275746699,-0.044688441676110524,,0.0025314649971111313,0.023774583119984427,0.04401525631070413,0.04855641110439233,0.027328898366190714,0.02505547295489061,4.725968327079389,1.3322676295501878e-15,3.098047219308876e-18,-8.326672684688674e-17
linear_J,0.8897975073614827,-0.05458045300506198,-0.01754429207441699,-0.03703616093064499,,0.0025314649971111313,0.020748942436934426,0.0363629755652386,0.04387779725114074,0.02473926630036226,0.02264653197557724,3.9229197439947114,1.1284639889197479e-11,3.098047219308876e-18,-8.326672684688674e-17
linear_b,0.8897975073614827,-0.05366887355684857,-0.01729714600945298,-0.036371727547395594,,0.0025314649971111313,0.020501796371970415,0.0356985421819892,0.043500759395553895,0.02453072452071009,0.022452419499462542,3.8533870798577214,2.3037127760972e-13,3.098047219308876e-18,-8.326672684688674e-17
smooth_b,0.8897975073614827,-0.05961432139791495,-0.01899867772604008,-0.04061564367187487,,0.0025314649971111313,0.022203328088557517,0.039942458306468476,0.04623319389018954,0.02604758728543926,0.023859841247665825,4.299047838762988,4.8646642270000484e-12,3.098047219308876e-18,-8.326672684688674e-17
spectral_smooth,0.8897975073614827,-0.05991372434521891,-0.019080221766398786,-0.040833502578820124,,0.0025314649971111313,0.022284872128916222,0.04016031721341373,0.0463556543964681,0.026115248125343507,0.02392287932879251,4.321853029961996,1.9095169889737917e-11,3.098047219308876e-18,-8.326672684688674e-17
linear_J,5.0,-0.002446203613683473,0.0009613987249406653,-0.0034076023386241383,,0.0025314649971111313,0.002243251637576771,0.002734416973217746,0.004509200012705377,0.00256199430120331,0.002329685410870177,0.32874274980065554,2.0478063689211012e-12,3.098047219308876e-18,-8.760353553682876e-17
linear_b,5.0,-0.004706881270413299,1.1500181252177555e-05,-0.0047183814516654765,,0.0025314649971111313,0.0031931501812652585,0.004045196086259084,0.0068459895501461554,0.0039232491303036274,0.003541037367998534,0.47169439290089543,6.780132011385831e-13,3.098047219308876e-18,-8.760353553682876e-17
smooth_b,5.0,-0.01651175939054761,-0.0048777453590210795,-0.01163401403152653,,0.0025314649971111313,0.008082395721538516,0.010960828666120137,0.018399324206055417,0.01044401699428356,0.009504842581230145,1.2243732201404165,3.803579673444801e-11,3.098047219308876e-18,-8.673617379884035e-17
spectral_smooth,5.0,-0.015921202415232316,-0.00463699760176739,-0.011284204813464926,,0.0025314649971111313,0.007841647964284826,0.010611019448058534,0.01787967998042245,0.010138397936673454,0.00923511692730677,1.186382951368585,2.2133184174322196e-11,3.098047219308876e-18,-8.673617379884035e-17
linear_J,10.0,0.000427506396896149,0.002279884893284345,-0.0018523784963881962,0.18751227228857767,0.0025314649971111313,0.0009247654692330909,0.0011791931309818038,0.0020404071824664544,0.0011576250521657184,0.0010539778312453954,0.1567392884727653,2.2870594307278225e-12,3.098047219308876e-18,-8.760353553682876e-17
linear_b,10.0,-0.0007579761104639093,0.0017532528139401204,-0.0025112289244040298,,0.0025314649971111313,0.0014513975485773156,0.0018380435589976374,0.0032276299147612655,0.001847840557571159,0.0016692475510429808,0.22920723226615147,2.052469305624527e-12,3.098047219308876e-18,-8.760353553682876e-17
smooth_b,10.0,-6.658242873247566e-05,0.002064487849618435,-0.0021310702783509106,,0.0025314649971111313,0.0011401625128990012,0.0014578849129445182,0.0025945637538125625,0.0014894729351578526,0.0013423322631340542,0.18730092971486062,6.03526340015037e-10,3.098047219308876e-18,-8.760353553682876e-17
spectral_smooth,10.0,0.0014772859643434888,0.00274431318653956,-0.001267027222196071,0.538308080721017,0.0025314649971111313,0.00046033717597787627,0.0005938418567896786,0.0010497199955929943,0.0005997244781763725,0.0005427379103694898,0.0923988073878626,3.442592877433981e-10,3.098047219308876e-18,-8.760353553682876e-17
linear_J,12.0,0.0015550600606167864,0.002771657843227082,-0.0012165977826102958,0.5610577309954705,0.0025314649971111313,0.00043299251929035387,0.0005434124172039034,0.0009001095675583618,0.0005091616947211606,0.0004647713183705092,0.08701405522069106,1.13464793116691e-12,3.098047219308876e-18,-8.760353553682876e-17
linear_b,12.0,0.001007071563089601,0.0025350161896802725,-0.0015279446265906715,0.3972643516791967,0.0025314649971111313,0.0006696341728371635,0.0008547592611842791,0.0014828753858388854,0.0008494374243980026,0.0007669631645547711,0.12110676028806375,2.8983482280864337e-12,3.098047219308876e-18,-8.760353553682876e-17
smooth_b,12.0,0.0010965019521654296,0.0025755332500880246,-0.001479031297922595,0.42573783589396647,0.0025314649971111313,0.0006291171124294115,0.0008058459325162026,0.001434207823564031,0.000822918322365646,0.0007419555047518451,0.1157089641661592,9.952128010581873e-10,3.098047219308876e-18,-8.760353553682876e-17
spectral_smooth,12.0,0.002390320407804458,0.003143046734085886,-0.0007527263262814277,0.7605106159834597,0.0025314649971111313,6.16036284315502e-05,7.954096087503526e-05,0.00014056811138678566,7.87517428094311e-05,7.249033279881398e-05,0.03598454845206919,5.997429219917194e-10,3.098047219308876e-18,-8.760353553682876e-17
linear_J,20.0,0.0023716915379120573,0.00313354715302816,-0.0007618556151161027,0.7568711821107049,0.0025314649971111313,7.110320948927606e-05,8.867024970971027e-05,0.00014116810632005145,7.45865853010512e-05,7.225708570743407e-05,0.03701622209875827,3.824052186018889e-12,3.098047219308876e-18,-8.760353553682876e-17
linear_b,20.0,0.0019837616007092884,0.002963919544773874,-0.0009801579440645858,0.6693034580534254,0.0025314649971111313,0.00024073081774356186,0.0003069725786581934,0.0005174054034410008,0.0002936286427752271,0.0002672766405696202,0.06096680009678515,8.557488051508244e-12,3.098047219308876e-18,-8.760353553682876e-17
smooth_b,20.0,0.0024110641200516536,0.0031518831167177686,-0.000740818996666115,0.7649598766093931,0.0025314649971111313,5.276724579966752e-05,6.763363125972255e-05,0.00012034329682911078,6.91102150332961e-05,6.226413119409068e-05,0.03468336070763939,2.0430793723491547e-09,3.098047219308876e-18,-8.760353553682876e-17
spectral_smooth,20.0,0.0025277241280038387,0.003203014890812095,-0.0006752907628082561,0.789170270564355,0.0025314649971111313,1.6354717053412848e-06,2.1053974018636623e-06,3.717387361835946e-06,2.077638901788536e-06,1.9164383647636674e-06,0.02749139014567442,1.8124142187048164e-09,3.098047219308876e-18,-8.760353553682876e-17
linear_J,30.0,0.0023582479273632773,0.003128441150233141,-0.0007701932228698638,0.753809266058124,0.0025314649971111313,7.6209212284295e-05,9.70078574634714e-05,0.00016166750863219994,9.080342129945092e-05,8.339903914650522e-05,0.03791380790907212,9.861556016232953e-12,3.098047219308876e-18,-8.760353553682876e-17
linear_b,30.0,0.0021033767956862848,0.0030166241044404796,-0.0009132473087541948,0.6972618141551372,0.0025314649971111313,0.0001880262580769565,0.0002400619433478024,0.00041557527111699805,0.00023757141268670787,0.0002148828977729973,0.053616929569913485,2.2961188506087638e-11,3.098047219308876e-18,-8.760353553682876e-17
smooth_b,30.0,0.002523810056334619,0.003201295761627976,-0.0006774857052933569,0.7883714109099277,0.0025314649971111313,3.3546008894602686e-06,4.300339886964544e-06,7.650738403121877e-06,4.392679247454964e-06,3.958282410197008e-06,0.027732373508985997,3.3838518653794836e-09,3.098047219308876e-18,-8.760353553682876e-17
spectral_smooth,30.0,0.002530003311389306,0.0032040099945673806,-0.0006740066831780744,0.7896365228819825,0.0025314649971111313,6.403679500555093e-07,8.213177716820397e-07,1.4590890917885134e-06,8.342773117866795e-07,7.544755953522722e-07,0.027350543385715187,2.951781485904803e-09,3.098047219308876e-18,-8.760353553682876e-17
linear_J,40.0,0.002434212997193319,0.003161529619791492,-0.0007273166225981731,0.7699478701559213,0.0025314649971111313,4.3120742725943906e-05,5.413125719178069e-05,9.01329069776315e-05,5.110046317886257e-05,4.655400258139811e-05,0.03321254201242366,1.9861112754426813e-11,3.098047219308876e-18,-8.760353553682876e-17
linear_b,40.0,0.0023968260106679296,0.0031454407105721005,-0.000748614699904171,0.7620000601543652,0.0025314649971111313,5.920965194533556e-05,7.542933449777856e-05,0.00013029927023090705,7.469760814950872e-05,6.739954664537257e-05,0.03554346110826584,5.0399129314371294e-11,3.098047219308876e-18,-8.760353553682876e-17
smooth_b,40.0,0.0025307734426306405,0.0032043472926022165,-0.000673573849971576,0.7897937431667796,0.0025314649971111313,3.0306991521955595e-07,3.8848456518358887e-07,6.910617074264829e-07,3.969313749525156e-07,3.575553901706464e-07,0.027303043839629892,4.969291089729211e-09,3.098047219308876e-18,-8.760353553682876e-17
spectral_smooth,40.0,0.0025313739067893137,0.0032046104395891395,-0.0006732365327998258,0.7899162642414218,0.0025314649971111313,3.992292829657629e-08,5.1167393433360076e-08,9.060538801750329e-08,5.1860270592452837e-08,4.685733505083044e-08,0.027266022785118332,4.278776000177231e-09,3.098047219308876e-18,-8.760353553682876e-17
linear_J,80.0,0.0024962680438496143,0.0031891409293682838,-0.0006928728855186694,0.78273996011336,0.0025314649971111313,1.550943314915232e-05,1.9687520112277035e-05,3.298412008402047e-05,1.8793077194540932e-05,1.704762463878134e-05,0.029423026934763397,1.520074066618804e-10,3.098047219308876e-18,-8.760353553682876e-17
linear_b,80.0,0.0024934643225786868,0.0031879095021569714,-0.0006944451795782847,0.7821628314390932,0.0025314649971111313,1.6740860360464627e-05,2.1259814171892266e-05,3.6012837266656614e-05,2.0601772685687296e-05,1.8623009317113556e-05,0.029595649180866324,4.4657344488996387e-10,3.098047219308876e-18,-8.760353553682876e-17
smooth_b,80.0,0.0025314552464058004,0.0032046460892993234,-0.0006731908428935229,0.7899328586887071,0.0025314649971111313,4.273218112693655e-09,5.477487130534087e-09,9.738479066217341e-09,5.591236379797075e-09,5.038407599741701e-09,0.02726100817311075,1.3379894747700405e-08,3.098047219308876e-18,-8.760353553682876e-17
spectral_smooth,80.0,0.0025314613346930637,0.003204648757860973,-0.0006731874231679091,0.789934100728953,0.0025314649971111313,1.6046564632610227e-09,2.05776151673831e-09,3.661609466725811e-09,2.101168002044056e-09,1.894278516818827e-09,0.027260632843528754,1.1467155669464546e-08,3.098047219308876e-18,-8.760353553682876e-17
