protocol,tau,q,W,Qh,Qc,eta,W_ad,D_open,D_close,bound,leakage_open,leakage_close,sigma,norm_error,thermal_tail,identity_error
linear_J,0.0,0.0,-0.06525837443357752,-0.02056993275746699,-0.044688441676110524,,0.0025314649971111313,0.023774583119984427,0.04401525631070413,0.04855641110439233,0.027328898366190714,0.02505547295489061,4.725968327079389,1.3322676295501878e-15,3.098047219308876e-18,-8.326672684688674e-17
linear_J,0.2,0.004495404816160032,-0.06457049090430667,-0.02038002872212219,-0.044190462182184476,,0.0025314649971111313,0.023584679084639626,0.04351727681677808,0.04829126962212329,0.02718331310039387,0.024919097208479138,4.673796577244975,2.300892809614652e-11,3.098047219308876e-18,-8.326672684688674e-17
linear_J,0.240808262523186,0.005412653115589298,-0.064269232665084,-0.020296814591945322,-0.043972418073138675,,0.0025314649971111313,0.02350146495446276,0.04329923270773228,0.04817328190630671,0.02711846238297858,0.024858402283257135,4.650951989713184,1.6418422177366665e-11,3.098047219308876e-18,-8.326672684688674e-17
linear_J,0.28994309649717825,0.006517057962028839,-0.06384067669428861,-0.02017831753502919,-0.04366235915925942,,0.0025314649971111313,0.023382967897546625,0.04298917379385303,0.048003564261800975,0.027025112389137244,0.024771088529039025,4.618464885113807,1.3618994820774333e-11,3.098047219308876e-18,-8.326672684688674e-17
linear_J,0.34910346649038965,0.0078468070229953,-0.06323536852700129,-0.0200106119234863,-0.04322475660351499,,0.0025314649971111313,0.023215262286003735,0.0425515712381086,0.047760230390508765,0.026891141782053173,0.024645886159530835,4.572608309395077,2.7269408953145557e-11,3.098047219308876e-18,-8.326672684688674e-17
linear_J,0.42033499603186003,0.009447879827811156,-0.062388377406165485,-0.019775104938650145,-0.04261327246751534,,0.0025314649971111313,0.02297975530116758,0.04194008710210895,0.0474129186704933,0.026699680327718987,0.024467154735615088,4.50851605848466,1.3839707158069814e-11,3.098047219308876e-18,-8.326672684688674e-17
linear_J,0.5061007003606124,0.01137563762931531,-0.06121735964529984,-0.019447597901477764,-0.041769761743822076,,0.0025314649971111313,0.0226522482639952,0.04109657637841568,0.04692023240718654,0.026427634977887172,0.024213558185452247,4.420071148150679,3.762212763547268e-12,3.098047219308876e-18,-8.326672684688674e-17
linear_J,0.6093661515780331,0.013696737663043967,-0.05962259931929059,-0.01899766777630474,-0.040624931542985854,,0.0025314649971111313,0.022202318138822175,0.03995174617757946,0.04622704306989493,0.02604411210163828,0.0238566658986151,4.299964001502395,1.8562262837917842e-11,3.098047219308876e-18,-8.326672684688674e-17
linear_J,0.7337020210097325,0.0164914379943675,-0.057490633355877896,-0.01838884740367641,-0.039101785952201484,,0.0025314649971111313,0.021593497766193848,0.03842860058679509,0.04526221603315091,0.025509051611608925,0.02335976872121968,4.140039187766104,4.11448652926083e-12,3.098047219308876e-18,-8.326672684688674e-17
linear_J,0.8834075444455187,0.01985637264966246,-0.0547033884668634,-0.017580280160662376,-0.037123108306201025,,0.0025314649971111313,0.020784930523179812,0.03644992294079463,0.043937818640387816,0.02477268298657668,0.022677459323536566,3.932064332628382,2.4023005806839137e-12,3.098047219308876e-18,-8.326672684688674e-17
