eps_over_Jo,tau,W,Qh,Qc,eta,W_ad,D_open,D_close,bound,leakage_open,leakage_close,sigma,norm_error,thermal_tail,identity_error,eps,P,W_tls,Wad_tls,L_tls,Wnorm_tls,Wnorm_spatial,delta_Wnorm,loss_spatial,loss_tls_on_spatial_budget
0.0,5.0,-0.0165117593905476,-0.004877745359021,-0.0116340140315265,,0.0025314649971111,0.0080823957215385,0.0109608286661201,0.0183993242060554,0.0104440169942835,0.0095048425812301,1.2243732201404165,3.8035796734448007e-11,3.098047219308876e-18,-8.673617379884034e-17,0.0,6.208715780842963e-35,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0,-6.522610191881289,-7.522610191881289,0.019043224387658698,-1.5592637781947517e-05
0.0,10.0,-6.658242873247566e-05,0.0020644878496184,-0.0021310702783509,,0.0025314649971111,0.001140162512899,0.0014578849129445,0.0025945637538125,0.0014894729351578,0.001342332263134,0.1873009297148606,6.03526340015037e-10,3.098047219308876e-18,-8.760353553682876e-17,0.0,4.060048582255039e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0,-0.026301935364881332,-1.0263019353648812,0.0025980474258435757,-1.5592637781947517e-05
0.0,20.0,0.0024110641200516,0.0031518831167177,-0.0007408189966661,0.7649598766093931,0.0025314649971111,5.276724579966752e-05,6.763363125972255e-05,0.0001203432968291,6.91102150332961e-05,6.226413119409068e-05,0.0346833607076393,2.0430793723491547e-09,3.098047219308876e-18,-8.760353553682876e-17,0.0,9.728511705802038e-35,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0,0.9524382611662017,-0.04756173883379833,0.00012040087705950022,-1.5592637781947517e-05
0.0,40.0,0.0025307734426306,0.0032043472926022,-0.0006735738499715,0.7897937431667796,0.0025314649971111,3.03069915219556e-07,3.884845651835889e-07,6.910617074264829e-07,3.969313749525156e-07,3.575553901706464e-07,0.0273030438396298,4.969291089729211e-09,3.098047219308876e-18,-8.760353553682876e-17,0.0,1.5472069906213185e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0,0.9997268164950773,-0.0002731835049226694,6.915544804998557e-07,-1.5592637781947517e-05
0.0,80.0,0.0025314552464058,0.0032046460892993,-0.0006731908428935,0.7899328586887071,0.0025314649971111,4.273218112693655e-09,5.4774871305340875e-09,9.73847906621734e-09,5.591236379797075e-09,5.038407599741701e-09,0.0272610081731107,1.3379894747700405e-08,3.098047219308876e-18,-8.760353553682876e-17,0.0,8.954924319382736e-34,0.0025470576348930476,0.0025470576348930476,0.021064267717383674,1.0,0.9999961481966723,-3.851803327736825e-06,9.750705300039936e-09,-1.5592637781947517e-05
0.05,5.0,-0.0165174668696031,-0.0048620826332343,-0.0116553842363688,,0.0025735724448199,0.0081245616972228,0.0109664776172001,0.0,0.0104408164971192,0.0095047404738581,1.2263144565523096,3.813049875844854e-11,3.0979905315956654e-18,-9.020562075079396e-17,0.0011238512040398164,0.0025790787518030597,0.002539937905016971,0.002594673072598777,0.02122275930641519,0.9789047922222494,-6.418108378044512,-7.397013170266762,0.019091039314423,3.3634539802929186e-05
0.05,10.0,-7.418041417078802e-05,0.0020783477400969,-0.0021525281542676,,0.0025735724448199,0.0011841313238916,0.001463621535099,0.0,0.0014888955898788,0.0013423130930744,0.1892734686755583,6.028026966475862e-10,3.0979905315956654e-18,-8.977193988179977e-17,0.0011238512040398164,0.0025766513576938295,0.0025399894210178927,0.002594673072598777,0.02122275930641519,0.9789246467470701,-0.0288239075298225,-1.0077485542768927,0.0026477528589906882,3.3583023802007464e-05
0.05,20.0,0.0024032398287229,0.0031655152693246,-0.0007622754406017,0.7591938829079408,0.0025735724448199,9.69637946638402e-05,7.336882143305079e-05,0.0,6.908028691852705e-05,6.226326079848103e-05,0.0366586031936115,2.041681490538849e-09,3.0979905315956654e-18,-8.977193988179977e-17,0.0011238512040398164,0.0025669717706336753,0.002540194848564256,0.002594673072598777,0.02122275930641519,0.9790038195525125,0.9338147187424832,-0.04518910081002925,0.00017033261609700028,3.337759625564405e-05
0.05,40.0,0.002523667231762,0.0032186134943473,-0.0006949462625852,0.7840852081786901,0.0025735724448199,4.386556964119937e-05,6.039643416611007e-06,0.0,3.968430292892538e-07,3.575607489903641e-07,0.0292619575791845,4.975470035972762e-09,3.0979905315956654e-18,-8.977193988179977e-17,0.0011238512040398164,0.002528729221178987,0.0025410064609865963,0.002594673072598777,0.02122275930641519,0.979316619045794,0.9806085843208534,0.0012919652750593702,4.990521305790014e-05,3.256598383330391e-05
0.05,80.0,0.0025271678256815,0.0032214073714459,-0.0006942395457644,0.7844918491470405,0.0025735724448199,4.107169254252696e-05,5.332926595769116e-06,0.0,5.593706563575164e-09,5.0388040111982645e-09,0.0291563624333669,1.339285016221936e-08,3.0979905315956654e-18,-8.977193988179977e-17,0.0011238512040398164,0.0023831156440717047,0.0025440967828852905,0.002594673072598777,0.02122275930641519,0.9805076445862869,0.981968792356398,0.001461147770111082,4.640461913840016e-05,2.9475661934609716e-05
0.1,5.0,-0.0165345172728111,-0.0048152686639354,-0.0117192486088757,,0.0026966361580454,0.0082480640993941,0.0109830893314624,0.0,0.0104312528209825,0.0095044341686774,1.232115719186767,3.832645312229488e-11,3.0978204787732763e-18,-4.8572257327350605e-17,0.002247702408079633,0.009899488390512837,0.002518679218013502,0.0027333926446502293,0.02168934576886798,0.92144801184822,-6.131534364945916,-7.052982376794136,0.019231153430856497,0.0001779569400318982
0.1,10.0,-9.688080341474504e-05,0.0021197747223511,-0.0022166555257658,,0.0026966361580454,0.0013130207131075,0.0014804962483525,0.0,0.0014871703136292,0.0013422555862052,0.1951683685471994,6.017326636964525e-10,3.0978204787732763e-18,-4.8572257327350605e-17,0.002247702408079633,0.00989001201263479,0.0025188847544499356,0.0027333926446502293,0.02168934576886798,0.9215232064737839,-0.03592653874557814,-0.9574497452193621,0.0027935169614601452,0.00017775140359546464
0.1,20.0,0.002379863443699,0.0032062619613403,-0.0008263985176413,0.7422548351926112,0.0026966361580454,0.0002265334741183,9.023924022799612e-05,0.0,6.899085364163661e-05,6.226064976044922e-05,0.0425615772473783,2.0405711564919216e-09,3.0978204787732763e-18,-4.8572257327350605e-17,0.002247702408079633,0.009852224395955704,0.0025197043431338696,0.0027333926446502293,0.02168934576886798,0.9218230494859242,0.8825304209463667,-0.039292628539557506,0.00031677271434640006,0.00017693181491153058
0.1,40.0,0.0025024383921006,0.0032612556812238,-0.0007588172891231,0.7673235822962403,0.0026966361580454,0.0001715397542348,2.2658011709864034e-05,0.0,3.965792007559444e-07,3.575768194907164e-07,0.0351160328970215,4.9885436892438414e-09,3.0978204787732763e-18,-4.8572257327350605e-17,0.002247702408079633,0.009702944184447688,0.0025229421332577167,0.0027333926446502293,0.02168934576886798,0.9230075811448442,0.9279851805867795,0.004977599441935321,0.00019419776594480033,0.00017369402478768347
0.1,80.0,0.0025143657228303,0.0032715056987689,-0.0007571399759386,0.768565288997193,0.0026966361580454,0.0001612897366897,2.0980698525296937e-05,0.0,5.601089858181915e-09,5.039992193215555e-09,0.0348201763592508,1.3414051536209117e-08,3.0978204787732763e-18,-4.8572257327350605e-17,0.002247702408079633,0.009134734410679267,0.0025352662315102303,0.0027333926446502293,0.02168934576886798,0.9275162997428231,0.9324082210084972,0.00489192126567406,0.00018227043521510007,0.00016136992653516995
0.2,5.0,-0.0166016560694901,-0.0046305836065518,-0.0119710724629382,,0.0031450502764642,0.0087016812390208,0.0110450251069335,0.0,0.0103935560734059,0.0095032092044672,1.2549895413757255,3.875721965584944e-11,3.097140421085609e-18,-4.510281037539698e-17,0.004495404816159266,0.03406512475838638,0.0024351239722648034,0.003233501653897562,0.02343680486407756,0.7530919210539387,-5.278661582527829,-6.0317535035817675,0.0197467063459543,0.0007099263041993966
0.2,10.0,-0.0001863018248098,0.0022832293347012,-0.002469531159511,,0.0031450502764642,0.0017878682977676,0.0015434838035063,0.0,0.0014803689458733,0.0013420256085973,0.2184127492673437,6.010477671125614e-10,3.097140421085609e-18,-4.4669129506402777e-17,0.004495404816159266,0.034030399513484154,0.002435937821053434,0.003233501653897562,0.02343680486407756,0.75334361376226,-0.05923651720418552,-0.8125801309664455,0.003331352101274,0.000709112455410766
