eps_over_Jo,tau,W,Qh,Qc,eta,W_ad,D_open,D_close,bound,leakage_open,leakage_close,sigma,norm_error,thermal_tail,identity_error
0.0,5,-0.01651175939054761,-0.0048777453590210795,-0.01163401403152653,,0.0025314649971111313,0.008082395721538516,0.010960828666120137,0.018399324206055417,0.01044401699428356,0.009504842581230145,1.2243732201404165,3.803579673444801e-11,3.098047219308876e-18,-8.673617379884035e-17
0.0,10,-6.658242873247566e-05,0.002064487849618435,-0.0021310702783509106,,0.0025314649971111313,0.0011401625128990012,0.0014578849129445182,0.0025945637538125625,0.0014894729351578526,0.0013423322631340542,0.18730092971486062,6.03526340015037e-10,3.098047219308876e-18,-8.760353553682876e-17
0.0,20,0.0024110641200516536,0.0031518831167177686,-0.000740818996666115,0.7649598766093931,0.0025314649971111313,5.276724579966752e-05,6.763363125972255e-05,0.00012034329682911078,6.91102150332961e-05,6.226413119409068e-05,0.03468336070763939,2.0430793723491547e-09,3.098047219308876e-18,-8.760353553682876e-17
0.0,40,0.0025307734426306405,0.0032043472926022165,-0.000673573849971576,0.7897937431667796,0.0025314649971111313,3.0306991521955595e-07,3.8848456518358887e-07,6.910617074264829e-07,3.969313749525156e-07,3.575553901706464e-07,0.027303043839629892,4.969291089729211e-09,3.098047219308876e-18,-8.760353553682876e-17
0.0,80,0.0025314552464058004,0.0032046460892993234,-0.0006731908428935229,0.7899328586887071,0.0025314649971111313,4.273218112693655e-09,5.477487130534087e-09,9.738479066217341e-09,5.591236379797075e-09,5.038407599741701e-09,0.02726100817311075,1.3379894747700405e-08,3.098047219308876e-18,-8.760353553682876e-17
0.05,5,-0.016517466869603148,-0.004862082633234344,-0.011655384236368804,,0.0025735724448199613,0.008124561697222865,0.010966477617200154,0.0,0.010440816497119266,0.009504740473858153,1.2263144565523096,3.813049875844854e-11,3.0979905315956654e-18,-9.020562075079397e-17
0.05,10,-7.418041417078802e-05,0.0020783477400969086,-0.0021525281542676966,,0.0025735724448199613,0.001184131323891613,0.0014636215350990467,0.0,0.0014888955898788227,0.0013423130930744205,0.1892734686755583,6.028026966475863e-10,3.0979905315956654e-18,-8.977193988179977e-17
0.05,20,0.0024032398287229806,0.0031655152693246813,-0.0007622754406017007,0.7591938829079408,0.0025735724448199613,9.69637946638402e-05,7.336882143305079e-05,0.0,6.908028691852705e-05,6.226326079848103e-05,0.036658603193611555,2.041681490538849e-09,3.0979905315956654e-18,-8.977193988179977e-17
0.05,40,0.002523667231762061,0.003218613494347322,-0.0006949462625852609,0.7840852081786901,0.0025735724448199613,4.3865569641199365e-05,6.039643416611007e-06,0.0,3.968430292892538e-07,3.575607489903641e-07,0.029261957579184567,4.975470035972762e-09,3.0979905315956654e-18,-8.977193988179977e-17
0.05,80,0.0025271678256815755,0.0032214073714459945,-0.000694239545764419,0.7844918491470405,0.0025735724448199613,4.107169254252696e-05,5.332926595769116e-06,0.0,5.593706563575164e-09,5.0388040111982645e-09,0.029156362433366972,1.339285016221936e-08,3.0979905315956654e-18,-8.977193988179977e-17
0.1,5,-0.01653451727281119,-0.004815268663935446,-0.011719248608875743,,0.002696636158045433,0.008248064099394159,0.010983089331462415,0.0,0.010431252820982506,0.009504434168677427,1.2321157191867673,3.832645312229488e-11,3.097820478773276e-18,-4.85722573273506e-17
0.1,10,-9.688080341474503e-05,0.002119774722351142,-0.002216655525765887,,0.002696636158045433,0.001313020713107571,0.0014804962483525586,0.0,0.0014871703136292672,0.0013422555862052236,0.19516836854719943,6.017326636964526e-10,3.097820478773276e-18,-4.85722573273506e-17
0.1,20,0.002379863443699004,0.0032062619613403287,-0.0008263985176413247,0.7422548351926112,0.002696636158045433,0.00022653347411838443,9.023924022799612e-05,0.0,6.899085364163661e-05,6.226064976044922e-05,0.04256157724737836,2.0405711564919216e-09,3.097820478773276e-18,-4.85722573273506e-17
0.1,40,0.0025024383921006255,0.003261255681223818,-0.0007588172891231926,0.7673235822962403,0.002696636158045433,0.0001715397542348951,2.2658011709864034e-05,0.0,3.965792007559444e-07,3.575768194907164e-07,0.03511603289702153,4.988543689243841e-09,3.097820478773276e-18,-4.85722573273506e-17
0.1,80,0.002514365722830314,0.0032715056987689395,-0.0007571399759386255,0.768565288997193,0.002696636158045433,0.00016128973668977364,2.0980698525296937e-05,0.0,5.601089858181915e-09,5.039992193215555e-09,0.034820176359250804,1.3414051536209115e-08,3.097820478773276e-18,-4.85722573273506e-17
0.2,5,-0.016601656069490156,-0.004630583606551886,-0.01197107246293827,,0.003145050276464212,0.00870168123902082,0.011045025106933504,0.0,0.01039355607340594,0.009503209204467272,1.2549895413757257,3.875721965584944e-11,3.0971404210856092e-18,-4.5102810375396984e-17
0.2,10,-0.00018630182480983137,0.0022832293347012644,-0.002469531159511096,,0.003145050276464212,0.0017878682977676696,0.0015434838035063292,0.0,0.0014803689458733004,0.001342025608597383,0.21841274926734378,6.010477671125614e-10,3.0971404210856092e-18,-4.466912950640278e-17
0.2,20,0.0022877815476133323,0.0033670385431390226,-0.0010792569955256903,0.6794640210683419,0.003145050276464212,0.0007040590893299115,0.0001532096395209237,0.0,6.863830050727441e-05,6.225020784302335e-05,0.06583771776333125,2.0421403457149268e-09,3.0971404210856092e-18,-4.466912950640278e-17
0.2,40,0.0024188478464467478,0.0034295160632243915,-0.0010106682167776437,0.7053029645741257,0.003145050276464212,0.0006415815692445426,8.462086077287712e-05,0.0,3.955417118066311e-07,3.576410120320689e-07,0.05819787088745948,5.0190388511950346e-09,3.0971404210856092e-18,-4.466912950640278e-17
0.2,80,0.0024640446091473978,0.0034691611110320153,-0.0010051165018846175,0.7102710223839639,0.003145050276464212,0.0006019365214369188,7.906914587985092e-05,0.0,5.630220388808933e-09,5.044729135417924e-09,0.05714713630056156,1.3428569922702138e-08,3.0971404210856092e-18,-4.466912950640278e-17
0.4,5,-0.016854253245331186,-0.0039304821183459016,-0.012923771126985284,,0.004445268184993486,0.010057792656730402,0.011241728773594417,0.0,0.010251147347192346,0.009498313444317856,1.341508139177852,3.9503733617607395e-11,3.0944226464928672e-18,1.457167719820518e-16
0.4,10,-0.0005232571123311436,0.0029031763758430307,-0.0034264334881741743,,0.004445268184993486,0.00322413416254147,0.0017443911347833074,0.0,0.0014546612320087348,0.0013411064946313904,0.30635364411937954,6.030136390222651e-10,3.0944226464928672e-18,1.474514954580286e-16
0.4,20,0.0019408298051968864,0.003976920857876098,-0.002036091052679212,0.488023240732379,0.004445268184993486,0.002150389680508402,0.00035404869928834515,0.0,6.730587728623668e-05,6.22084758589208e-05,0.15389759454446997,2.0472114004022046e-09,3.0944226464928672e-18,1.474514954580286e-16
0.4,40,0.0021043752391362025,0.004067857724676993,-0.0019634824855407906,0.5173178074469897,0.004445268184993486,0.0020594528137075074,0.0002814401321499238,0.0,3.916591035394064e-07,3.5789635330156724e-07,0.14550002699561665,5.0362012338212025e-09,3.0944226464928672e-18,1.474514954580286e-16
0.4,80,0.002276062323096184,0.004218622650674297,-0.0019425603275781134,0.539527355624562,0.004445268184993486,0.0019086878877102031,0.00026051797418724654,0.0,5.740665798100563e-09,5.0634259452676945e-09,0.14152324962438262,1.3465593862171943e-08,3.0944226464928672e-18,1.474514954580286e-16
0.7,5,-0.01743911177794849,-0.002271852069493041,-0.01516725970845545,,0.006103445869672953,0.011965234459070995,0.011577323188550537,0.0,0.009917176012028892,0.009484883810528774,1.545124121714208,4.034017564435999e-11,3.0869689737910736e-18,8.673617379884035e-17
0.7,10,-0.0013072731550751726,0.004374180572786379,-0.005681453727861552,,0.006103445869672953,0.0053192018167915744,0.002091517207956639,0.0,0.001394273715117645,0.0013385854843557304,0.5134681156263254,6.066361857293145e-10,3.0869689737910736e-18,8.760353553682876e-17
0.7,20,0.001133770066349682,0.005424696506157234,-0.004290926439807552,0.2090015662743179,0.006103445869672953,0.00426868588342072,0.0007009899199026393,0.0,6.417715056000863e-05,6.209400650852625e-05,0.36128393765378974,2.026825374201735e-09,3.0869689737910736e-18,8.760353553682876e-17
0.7,40,0.0013763571189913115,0.0055837060777014225,-0.004207348958710111,0.24649526673472397,0.006103445869672953,0.004109676311876531,0.0006174124388051982,0.0,3.8281473280980165e-07,3.5858682426140607e-07,0.3509385698997433,5.054240137525312e-09,3.0869689737910736e-18,8.760353553682876e-17
0.7,80,0.001850178805245739,0.0059953716382549205,-0.004145192833009181,0.3086011871958404,0.006103445869672953,0.003698010751323033,0.0005552563131042687,0.0,6.0019196348605415e-09,5.112811494733143e-09,0.33957713782273163,1.3459916847757825e-08,3.0869689737910736e-18,8.760353553682876e-17
1.0,5,-0.018115616748399344,-0.00026465542096421046,-0.017850961327435133,,0.00675803589395998,0.013009776279802099,0.01186387636255748,0.0,0.009520507929289613,0.009464225620786585,1.788404325505566,4.098932304685832e-11,3.0755076300391817e-18,2.5673907444456745e-16
1.0,10,-0.002223547741242893,0.006159347727543452,-0.008382895468786344,,0.00675803589395998,0.006585773131294437,0.0023958105039086908,0.0,0.0013223203086722304,0.0013347081770188032,0.7612977002843413,6.09838179954636e-10,3.0755076300391817e-18,2.5500435096859064e-16
1.0,20,0.00019106892673315112,0.007183159725136279,-0.006992090798403128,0.02659956537852514,0.00675803589395998,0.0055619611337016095,0.0010050058335254741,0.0,6.045210234216107e-05,6.191794153521463e-05,0.6094195832761093,2.0311407000761506e-09,3.0755076300391817e-18,2.5500435096859064e-16
1.0,40,0.0005342857489364361,0.007426091487927056,-0.0068918057389906195,0.07194710027543418,0.00675803589395998,0.005319029370910833,0.0009047207741129659,0.0,3.729117188765965e-07,3.5962051663583535e-07,0.5963544302999737,5.053983120895111e-09,3.0755076300391817e-18,2.5500435096859064e-16
1.0,80,0.0013785179409349646,0.00814734619848273,-0.006768828257547765,0.16919839998841393,0.00675803589395998,0.004597774660355158,0.0007817432926701118,0.0,6.314681232881284e-09,5.1835008025950955e-09,0.5750409982737424,1.3469447890379627e-08,3.0755076300391817e-18,2.5500435096859064e-16
