eps_over_Jo,tau,D_open,D_close,internal_open,leak_open_energy,higher_open,internal_close,leak_close_energy,higher_close,D_total,internal_total,leak_energy_total,higher_total,W,W_ad
0.0,10,0.0011401625128989457,0.0014578849129445182,3.5413250780250964e-25,0.0011401625128990328,4.649720540162897e-51,4.545289469937422e-26,0.001457856510897537,2.840204690901331e-08,0.002598047425843464,3.9958540250188385e-25,0.0025980190237965698,2.840204690901331e-08,-6.65824287321426e-05,0.0025314649971113897
0.0,20,5.276724579938996e-05,6.76336312595005e-05,3.5184096336310413e-25,5.276724579956627e-05,-2.9559082914082826e-52,4.5583061794368637e-26,6.763773240575569e-05,-4.101145996637303e-09,0.00012040087705889047,3.9742402515747275e-25,0.00012040497820532196,-4.101145996637303e-09,0.0024110641200524308,0.0025314649971113897
0.0,40,3.030699139983106e-07,3.884845654056335e-07,3.4642166385968364e-25,3.0306991439167585e-07,-1.4644043551238084e-54,4.4902080449219756e-26,3.885056642629753e-07,-2.1097565758626824e-11,6.915544794039441e-07,3.913237443089034e-25,6.915755786546512e-07,-2.1097565758626824e-11,0.0025307734426319173,0.0025314649971113897
0.1,10,0.0013130207131102911,0.0014804962483532247,0.00017498504662139325,0.0011380356664891737,4.788231479000228e-51,2.253804288709408e-05,0.0014579294551208114,2.875034578300652e-08,0.002793516961463516,0.00019752308950848733,0.002595965121609985,2.875034578300652e-08,-9.688080341851979e-05,0.0026966361580449895
0.1,20,0.0002265334741217706,9.023924022877328e-05,0.0001738748878471645,5.2658586274492674e-05,-1.711762093234585e-52,2.2602074681260983e-05,6.76409929072199e-05,-3.8273595866182805e-09,0.0003167727143505439,0.00019647696252842546,0.00012029957918171258,-3.8273595866182805e-09,0.002379863443694452,0.0026966361580449895
0.1,40,0.00017153975423922496,2.2658011710974257e-05,0.00017123704651666422,3.0270772226695327e-07,5.576399293159474e-53,2.226933755935206e-05,3.8856802946768235e-07,1.061219325141651e-10,0.00019419776595019922,0.00019350638407601627,6.912757517346356e-07,1.061219325141651e-10,0.002502438392094797,0.0026966361580449895
0.2,10,0.0017878682977674476,0.0015434838035061071,0.0006558988225246023,0.0011319694752433243,5.1962744792914815e-51,8.533238804393218e-05,0.0014581216213968844,2.9794065136638173e-08,0.0033313521012735547,0.0007412312105685345,0.002590091096640209,2.9794065136638173e-08,-0.00018630182480927626,0.0031450502764641774
0.2,20,0.0007040590893294119,0.00015320963952070166,0.0006517111988745078,5.234789045537869e-05,1.9533480993953165e-52,8.556312454039588e-05,6.764952208080639e-05,-3.007100284778283e-09,0.0008572687288501135,0.0007372743234149037,0.00011999741253618509,-3.007100284778283e-09,0.002287781547614165,0.0031450502764641774
0.2,40,0.0006415815692446536,8.46208607727661e-05,0.0006412798737079474,3.016955375523937e-07,2.2420606728633083e-52,8.423162606944322e-05,3.8874775783793804e-07,4.869463031531515e-10,0.0007262024300174197,0.0007255114997773906,6.904432953903318e-07,4.869463031531515e-10,0.002418847846446859,0.0031450502764641774
0.4,10,0.003224134162544079,0.0017443911347846397,0.0021133815401666884,0.001110752622377871,6.723217408065303e-51,0.0002857535216961079,0.001458603661722128,3.395136676942032e-08,0.004968525297328719,0.0023991350618627963,0.002569356284099999,3.395136676942032e-08,-0.0005232571123352514,0.004445268184993426
0.4,20,0.002150389680510789,0.00035404869928779004,0.0020991346614257973,5.125501908582061e-05,1.56678584224658e-51,0.00028637828481106417,6.767015695762487e-05,2.5752006410612333e-10,0.002504438379798579,0.0023855129462368617,0.00011892517604344548,2.5752006410612333e-10,0.001940829805194888,0.004445268184993426
