alpha,width,tc,th,protocol,tau,W,Qh,Qc,eta,W_ad,D_open,D_close,bound,leakage_open,leakage_close,sigma,norm_error,thermal_tail,identity_error
2.2,0.5,0.015587995106625372,0.12544672886053862,linear_J,0,-0.0991280151938061,-0.03038506800255325,-0.06874294719125285,,0.003552462157473794,0.03629620908064257,0.06638426827063715,0.07679006895136052,0.04125718474123843,0.037718883012193095,4.652207773345378,2.220446049250313e-15,3.913634480011506e-26,-1.6653345369377348e-16
2.2,0.5,0.015587995106625372,0.12544672886053862,linear_J,5,-0.0027170375652358913,0.0031581026778612076,-0.005875140243097099,,0.003552462157473794,0.002753038400228114,0.003516461322481401,0.005811878207819322,0.003151879675121099,0.0028602685060191797,0.351726745811708,7.837364091045629e-11,3.913634480011506e-26,-1.704365815147213e-16
2.2,0.5,0.015587995106625372,0.12544672886053862,linear_J,10,0.000200735956916831,0.0044476281172439736,-0.0042468921603271426,0.045133260161422724,0.003552462157473794,0.0014635129608453479,0.0018882132397114448,0.003192910517634688,0.0017380151465083505,0.001572575044421181,0.23699201930529337,4.388596153148683e-10,3.913634480011506e-26,-1.704365815147213e-16
2.2,0.5,0.015587995106625372,0.12544672886053862,linear_J,20,0.0034291511725859647,0.005855588545772894,-0.0024264373731869293,0.5856202405241474,0.003552462157473794,5.555253231642743e-05,6.775845257123159e-05,7.532613595108848e-05,3.559075262572888e-05,3.608365738226787e-05,0.10898275555746009,3.154081218426086e-09,3.913634480011506e-26,-1.704365815147213e-16
2.2,0.5,0.015587995106625372,0.12544672886053862,linear_J,40,0.0035207163191502966,0.005897265434444465,-0.0023765491152941687,0.5970082843120246,0.003552462157473794,1.3875643644856162e-05,1.7870194678470952e-05,2.5582597739053295e-05,1.1783458051215107e-05,1.2197813596593226e-05,0.10545009965277574,2.2421628442792496e-08,3.913634480011506e-26,-1.704365815147213e-16
2.2,0.5,0.015587995106625372,0.12544672886053862,linear_J,80,0.0035387147231726868,0.005905100705057342,-0.0023663859818846555,0.5992640769262416,0.003552462157473794,6.040373031979129e-06,7.707061268957816e-06,1.1427490327883812e-05,6.024457181933768e-06,5.591492948058892e-06,0.10473565606356008,1.2162231122214706e-07,3.913634480011506e-26,-1.704365815147213e-16
2.2,0.5,0.015587995106625372,0.12544672886053862,smooth_b,0,-0.0991280151938061,-0.03038506800255325,-0.06874294719125285,,0.003552462157473794,0.03629620908064257,0.06638426827063715,0.07679006895136052,0.04125718474123843,0.037718883012193095,4.652207773345378,2.220446049250313e-15,3.913634480011506e-26,-1.6653345369377348e-16
2.2,0.5,0.015587995106625372,0.12544672886053862,smooth_b,5,-0.025753228982739906,-0.006508712983561593,-0.019244515999178313,,0.003552462157473794,0.012419854061650915,0.016885837078562616,0.02855129286817804,0.015496139786073749,0.014053593819584449,1.286457157396374,4.787237828374202e-09,3.913634480011506e-26,-1.700029006457271e-16
2.2,0.5,0.015587995106625372,0.12544672886053862,smooth_b,10,-0.00026370834790401254,0.004255568042155766,-0.004519276390059779,,0.003552462157473794,0.0016555730359335552,0.002160597469444081,0.0038120087564094646,0.0020891178202942324,0.001880141982667921,0.25599700288567667,1.679231609319487e-08,3.913634480011506e-26,-1.704365815147213e-16
2.2,0.5,0.015587995106625372,0.12544672886053862,smooth_b,20,0.00339447377820451,0.005842639177226994,-0.002448165399022484,0.5809829556881141,0.003552462157473794,6.850190086232777e-05,8.948647840678614e-05,0.0001579549615383689,8.663725634821004e-05,7.791940870606449e-05,0.11047987642640622,5.091333432627465e-08,3.913634480011506e-26,-1.704365815147213e-16
