protocol,peak_slope,vmax,tau,W,Qh,Qc,eta,W_ad,D_open,D_close,bound,leakage_open,leakage_close,sigma,norm_error,thermal_tail,identity_error
linear_J,6.095911736796467,0.1,60.959117367964666,0.0024861138523822324,0.003184683624883944,-0.0006985697725017115,0.7806470422859763,0.0025314649971111313,1.9966737633492215e-05,2.5384407095319084e-05,4.263683120439275e-05,2.3858911946174328e-05,2.1984254411687696e-05,0.03004843193912185,6.472777869248603e-11,3.098047219308876e-18,-8.760353553682876e-17
linear_J,6.095911736796467,0.2,30.479558683982333,0.0023118562304422774,0.00310802910920438,-0.0007961728787621025,0.7438335193179983,0.0025314649971111313,9.662125331305615e-05,0.00012298751335571012,0.00020504617706923467,0.00011540806881000263,0.00010580565530356238,0.0407669240111555,1.0320522214612993e-11,3.098047219308876e-18,-8.760353553682876e-17
linear_J,6.095911736796467,0.3,20.319705789321556,0.0024119237345369693,0.0031509079487141434,-0.0007389842141771741,0.7654694373160769,0.0025314649971111313,5.37424138032927e-05,6.579884877078168e-05,9.526473412431548e-05,4.8639352247334985e-05,4.855715442342933e-05,0.034512072058790616,4.289124611034367e-12,3.098047219308876e-18,-8.760353553682876e-17
linear_b,2.000000000003638,0.1,20.00000000003638,0.0019837616007087333,0.002963919544773541,-0.0009801579440648078,0.6693034580533134,0.0025314649971111313,0.00024073081774389493,0.00030697257865841543,0.0005174054034413648,0.0002936286427754772,0.00026727664056981415,0.06096680009681152,8.556821917693469e-12,3.098047219308876e-18,-8.760353553682876e-17
linear_b,2.000000000003638,0.2,10.00000000001819,-0.0007579761104516414,0.001753252813945616,-0.0025112289243972574,,0.0025314649971111313,0.00145139754857182,0.001838043558990865,0.0032276299147480274,0.001847840557563716,0.0016692475510361523,0.22920723226540554,2.055466907791015e-12,3.098047219308876e-18,-8.760353553682876e-17
linear_b,2.000000000003638,0.3,6.666666666678793,-0.0008883598900202849,0.0017081757205220094,-0.0025965356105422943,,0.0025314649971111313,0.0014964746419954267,0.001923350245135902,0.0032799229463822232,0.0018711097063368771,0.0016954881806076284,0.23830136454770431,1.032396390598933e-12,3.098047219308876e-18,-8.760353553682876e-17
smooth_b,3.7499998999992386,0.1,37.499998999992386,0.0025301057842698205,0.003204054765364006,-0.0006739489810941857,0.7896574714079146,0.0025314649971111313,5.955971534299387e-07,7.636156877932621e-07,1.358658292126944e-06,7.798602170520813e-07,7.029066728824195e-07,0.02734421354236849,4.582251578177932e-09,3.098047219308876e-18,-8.760353553682876e-17
smooth_b,3.7499998999992386,0.2,18.749999499996193,0.0023616068946145097,0.003130212100324159,-0.0007686052057096493,0.7544558703769454,0.0025314649971111313,7.44382621932771e-05,9.54198403032569e-05,0.00016981364799944945,9.750881497057894e-05,8.785815033221445e-05,0.03773286931691294,1.9311399146459962e-09,3.098047219308876e-18,-8.760353553682876e-17
smooth_b,3.7499998999992386,0.3,12.499999666664129,0.001257573088562114,0.002646185804323964,-0.00138861271576185,0.47523990435864094,0.0025314649971111313,0.0005584645581934722,0.0007154273503554576,0.0012732074295883939,0.0007304835833197862,0.0006586587707698244,0.10578394902213545,1.0583017795440242e-09,3.098047219308876e-18,-8.760353553682876e-17
spectral_smooth,4.277734886780308,0.1,42.777348867803084,0.0025313581096453874,0.003204603556405783,-0.0006732454467603954,0.7899130313905369,0.0025314649971111313,4.6806111653197036e-08,6.008135400303871e-08,1.0657500990393708e-07,6.061338828735798e-08,5.506948025141148e-08,0.027267000220967258,4.710206669145123e-09,3.098047219308876e-18,-8.760353553682876e-17
spectral_smooth,4.277734886780308,0.2,21.388674433901542,0.0025257772256824795,0.003202158418909584,-0.0006763811932271047,0.7887733507396459,0.0025314649971111313,2.4919436078518764e-06,3.1958278207122603e-06,5.6757455057498045e-06,3.245828391507679e-06,2.934919294548561e-06,0.027611139086340664,1.926208970104426e-09,3.098047219308876e-18,-8.760353553682876e-17
spectral_smooth,4.277734886780308,0.3,14.259116289267695,0.0024443514262766364,0.003166497393777723,-0.0007221459675010866,0.7719417142360109,0.0025314649971111313,3.815296873971308e-05,4.896060209469422e-05,8.69154419316604e-05,4.923370380828116e-05,4.488703254844333e-05,0.032633379327887124,1.0064959976574528e-09,3.098047219308876e-18,-8.760353553682876e-17
